app,module,component,model_name,description
discuss,channel,rtc.session,discuss.channel.rtc.session,Mail RTC session (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,render,mixin,mail.render.mixin,"Mail Render Mixin (The base model, which is implicitly inherited by all models.)"
event,type,mail,event.type.mail,Mail Scheduling on Event Category (Template of event.mail to attach to event.type. Those will be copied upon all events created in that type to ease event creation.)
ir,mail_server,,ir.mail_server,"Mail Server (Represents an SMTP server, able to send outgoing emails, with SSL and TLS capabilities.)"
mail,template,reset,mail.template.reset,"Mail Template Reset (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
mail,tracking,value,mail.tracking.value,Mail Tracking Value (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mailing,contact,import,mailing.contact.import,"Mailing Contact Import (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
mailing,filter,,mailing.filter,Mailing Favorite Filters (This model stores mass mailing or marketing campaign domain as filters (quite similar to 'ir.filters' but dedicated to mailing apps). Frequently used domains can be reused easily.)
mailing,list,,mailing.list,Mailing List (Model of a contact list.)
mailing,subscription,,mailing.subscription,Mailing List Subscription (Intermediate model between mass mailing list and mass mailing contact Indicates if a contact is opted out for a particular list)
mailing,trace,,mailing.trace,"Mailing Statistics (MailingTrace models the statistics collected about emails. Those statistics are stored in a separated model and table to avoid bloating the mail_mail table with statistics values. This also allows to delete emails send with mass mailing without loosing the statistics about them. Note:: State management / Error codes / Failure types summary * trace_status 'outgoing', 'process', 'pending', 'sent', 'opened', 'replied', 'error', 'bounce', 'cancel' * failure_type # generic 'unknown', # mass_mailing """"mail_email_invalid"""", """"mail_smtp"""", """"mail_email_missing"""", """"mail_from_invalid"""", """"mail_from_missing"""", # mass mailing mass mode specific codes """"mail_bl"""", """"mail_optout"""", """"mail_dup"""" # mass_mailing_sms 'sms_number_missing', 'sms_number_format', 'sms_credit', 'sms_server', 'sms_acc', 'sms_country_not_supported', 'sms_registration_needed', # mass_mailing_sms mass mode specific codes 'sms_blacklist', 'sms_duplicate', 'sms_optout', * cancel: * mail: set in _prepare_mail_values in composer, if email is blacklisted (mail) or in opt_out / seen list (mass_mailing) or email_to is void or incorrectly formatted (mass_mailing) - based on mail cancel state * sms: set in _prepare_mass_sms_trace_values in composer if sms is in cancel state; either blacklisted (sms) or in opt_out / seen list (sms); * void mail / void sms number -> error (mail_missing, sms_number_missing) * invalid mail / invalid sms number -> error (RECIPIENT, sms_number_format) * exception: set in _postprocess_sent_message (_postprocess_iap_sent_sms) if mail (sms) not sent with failure type, reset if sent; * process: (used in sms): set in SmsTracker._update_sms_traces when held back (at IAP) before actual sending to the sms_service. * pending: (used in sms): default value for sent sms. * sent: set in * _postprocess_sent_message if mail * SmsTracker._update_sms_traces if sms, when delivery report is received. * clicked: triggered by add_click * opened: triggered by add_click + blank gif (mail) + gateway reply (mail) * replied: triggered by gateway reply (mail) * bounced: triggered by gateway bounce (mail) or in _prepare_mass_sms_trace_values if sms_number_format error when sending sms (sms))"
mailing,subscription,optout,mailing.subscription.optout,Mailing Subscription Reason (Reason for opting out of mailing lists or for blacklisting.)
account,report,file.download.error.wizard,account.report.file.download.error.wizard,"Manage the file generation errors from report exports. (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
hr,leave,mandatory.day,hr.leave.mandatory.day,Mandatory Day (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mrp,report,,mrp.report,Manufacturing Report (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,code,mapping,account.code.mapping,Mapping of account codes per company (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
card,card,,card.card,Marketing Card (Mapping from a unique ID to a 'sharer' of a campaign. Storing state of sharing and their specific card.)
card,campaign,tag,card.campaign.tag,Marketing Card Campaign Tag (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
card,template,,card.template,Marketing Card Template (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mailing,trace,report,mailing.trace.report,Mass Mailing Statistics (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
calendar,booking,,calendar.booking,"Meeting Booking (This model is only used to store appointment informations for bookings WITH PAYMENT When we consider it is paid, the calendar event is created and GC will remove the booking.)"
calendar,booking,line,calendar.booking.line,Meeting Resource Booking (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
ir,ui,menu,ir.ui.menu,Menu (Mixin that overrides the create and write methods to properly generate ir.model.data entries flagged with Studio for the corresponding resources. Doesn't create an ir.model.data if the record is part of a module being currently installed as the ir.model.data will be created automatically afterwards.)
mailing,list,merge,mailing.list.merge,"Merge Mass Mailing List (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
crm,merge,opportunity,crm.merge.opportunity,"Merge Opportunities (Merge opportunities together. If we're talking about opportunities, it's just because it makes more sense to merge opps than leads, because the leads are more ephemeral objects. But since opportunities are leads, it's also possible to merge leads together (resulting in a new lead), or leads and opps together (resulting in a new opp).)"
base,partner,merge.line,base.partner.merge.line,"Merge Partner Line (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
base,partner,merge.automatic.wizard,base.partner.merge.automatic.wizard,"Merge Partner Wizard (The idea behind this wizard is to create a list of potential partners to merge. We use two objects, the first one is the wizard for the end-user. And the second will contain the partner list to merge.)"
hr_timesheet,merge,wizard,hr_timesheet.merge.wizard,"Merge Timesheets (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
mail,message,,mail.message,"Message (Override MailMessage class in order to add a new type: SMS messages. Those messages comes with their own notification method, using SMS gateway.)"
mail,notification,,mail.notification,Message Notifications (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,message,reaction,mail.message.reaction,Message Reaction (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,message,translation,mail.message.translation,Message Translation (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,message,subtype,mail.message.subtype,"Message subtypes (Class holding subtype definition for messages. Subtypes allow to tune the follower subscription, allowing only some subtypes to be pushed on the Wall.)"
discuss,voice,metadata,discuss.voice.metadata,Metadata for voice attachments (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
l10n_mx,report,handler,l10n_mx.report.handler,"Mexican Account Report Custom Handler (The base model, which is implicitly inherited by all models.)"
l10n_mx_edi,document,,l10n_mx_edi.document,Mexican documents that needs to transit outside of Odoo (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
stock,warehouse,orderpoint,stock.warehouse.orderpoint,Minimum Inventory Rule (Defines Minimum stock rules.)
mail,tracking,duration.mixin,mail.tracking.duration.mixin,"Mixin to compute the time a record has spent in each value a many2one field can take (The base model, which is implicitly inherited by all models.)"
ir,model,access,ir.model.access,Model Access (Mixin that overrides the create and write methods to properly generate ir.model.data entries flagged with Studio for the corresponding resources. Doesn't create an ir.model.data if the record is part of a module being currently installed as the ir.model.data will be created automatically afterwards.)
ir,model,constraint,ir.model.constraint,Model Constraint (This model tracks PostgreSQL foreign keys and constraints used by Odoo models.)
ir,model,data,ir.model.data,"Model Data (Holds external identifier keys for records in the database. This has two main uses: * allows easy data integration with third-party systems, making import/export/sync of data possible, as records can be uniquely identified across multiple systems * allows tracking the origin of data installed by Odoo modules themselves, thus making it possible to later update them seamlessly.)"
ir,model,inherit,ir.model.inherit,Model Inheritance Tree (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
website,controller,page,website.controller.page,Model Page (Mixin that overrides the create and write methods to properly generate ir.model.data entries flagged with Studio for the corresponding resources. Doesn't create an ir.model.data if the record is part of a module being currently installed as the ir.model.data will be created automatically afterwards.)
report,hr_payroll,contribution_register,report.hr_payroll.contribution_register,"Model for Printing hr.payslip.line grouped by register (The base model, which is implicitly inherited by all models.)"
ir,model,,ir.model,Models (Mixin that overrides the create and write methods to properly generate ir.model.data entries flagged with Studio for the corresponding resources. Doesn't create an ir.model.data if the record is part of a module being currently installed as the ir.model.data will be created automatically afterwards.)
asset,modify,,asset.modify,"Modify Asset (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
ir,module,module,ir.module.module,Module (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
base,module,install.request,base.module.install.request,"Module Activation Request (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
base,module,install.review,base.module.install.review,"Module Activation Review (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
report,base,report_irmodulereference,report.base.report_irmodulereference,"Module Reference Report (base) (The base model, which is implicitly inherited by all models.)"
base,module,uninstall,base.module.uninstall,"Module Uninstall (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
ir,module,module.dependency,ir.module.module.dependency,Module dependency (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
ir,module,module.exclusion,ir.module.module.exclusion,Module exclusion (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
website,multi,mixin,website.multi.mixin,"Multi Website Mixin (The base model, which is implicitly inherited by all models.)"
website,published,multi.mixin,website.published.multi.mixin,"Multi Website Published Mixin (The base model, which is implicitly inherited by all models.)"
account,multicurrency,revaluation.report.handler,account.multicurrency.revaluation.report.handler,"Multicurrency Revaluation Report Custom Handler (Manage Unrealized Gains/Losses. In multi-currencies environments, we need a way to control the risk related to currencies (in case some are higthly fluctuating) and, in some countries, some laws also require to create journal entries to record the provisionning of a probable future expense related to currencies. Hence, people need to create a journal entry at the beginning of a period, to make visible the probable expense in reports (and revert it at the end of the period, to recon the real gain/loss.)"
account,multicurrency,revaluation.wizard,account.multicurrency.revaluation.wizard,"Multicurrency Revaluation Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
fleet,vehicle,odometer,fleet.vehicle.odometer,Odometer log for a vehicle (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
onboarding,onboarding,,onboarding.onboarding,Onboarding (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
onboarding,progress,step,onboarding.progress.step,Onboarding Progress Step Tracker (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
onboarding,progress,,onboarding.progress,Onboarding Progress Tracker (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
onboarding,onboarding,step,onboarding.onboarding.step,Onboarding Step (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,financial,year.op,account.financial.year.op,"Opening Balance of Financial Year (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
crm,lost,reason,crm.lost.reason,Opp. Lost Reason (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,mail,,mail.mail,Outgoing Mails (Add the mass mailing campaign data to mail)
sms,sms,,sms.sms,Outgoing SMS (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
stock,quant,package,stock.quant.package,Packages (Packages containing quants and/or other packages)
website,page,,website.page,Page (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
website,page,properties,website.page.properties,"Page Properties (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
website,page,properties.base,website.page.properties.base,"Page Properties Base (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
report,paperformat,,report.paperformat,Paper Format Config (Mixin that overrides the create and write methods to properly generate ir.model.data entries flagged with Studio for the corresponding resources. Doesn't create an ir.model.data if the record is part of a module being currently installed as the ir.model.data will be created automatically afterwards.)
account,partial,reconcile,account.partial.reconcile,Partial Reconcile (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
res,partner,autocomplete.sync,res.partner.autocomplete.sync,Partner Autocomplete Sync (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,partner,ledger.report.handler,account.partner.ledger.report.handler,"Partner Ledger Custom Handler (The base model, which is implicitly inherited by all models.)"
res,partner,category,res.partner.category,Partner Tags (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
res,partner,title,res.partner.title,Partner Title (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,reconcile,model.partner.mapping,account.reconcile.model.partner.mapping,Partner mapping for reconciliation models (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
mail,resend,partner,mail.resend.partner,"Partner with additional information for mail resend (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
res,users,identitycheck,res.users.identitycheck,"Password Check Wizard (Wizard used to re-check the user's credentials (password) and eventually revoke access to his account to every device he has an active session on. Might be useful before the more security-sensitive operations, users might be leaving their computer unlocked & unattended. Re-checking credentials mitigates some of the risk of a third party using such an unattended device to manipulate the account.)"
account,payment,register,account.payment.register,"Pay (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
payment,capture,wizard,payment.capture.wizard,"Payment Capture Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
payment,method,,payment.method,Payment Method (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
l10n_mx_edi,payment,method,l10n_mx_edi.payment.method,"Payment Method for Mexico from SAT Data (Payment Method for Mexico from SAT Data. Electronic documents need this information from such data. Here the `xsd <goo.gl/Vk3IF1>`_ The payment method is an required attribute, to express the payment method of assets or services covered by the voucher. It is understood as a payment method legends such as check, credit card or debit card, deposit account, etc. Note: Odoo have the model payment.method, but this model need fields that we not need in this feature as partner_id, acquirer, etc., and they are there with other purpose, then a new model is necessary in order to avoid lose odoo's features)"
account,payment,method.line,account.payment.method.line,Payment Methods (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,payment,method,account.payment.method,Payment Methods (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
payment,provider,,payment.provider,Payment Provider (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
payment,refund,wizard,payment.refund.wizard,"Payment Refund Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
account,payment,term,account.payment.term,Payment Terms (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
account,payment,term.line,account.payment.term.line,Payment Terms Line (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
payment,token,,payment.token,Payment Token (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
payment,transaction,,payment.transaction,Payment Transaction (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
payment,provider,onboarding.wizard,payment.provider.onboarding.wizard,"Payment provider onboarding wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
hr,payroll,report,hr.payroll.report,Payroll Analysis Report (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,payroll,dashboard.warning,hr.payroll.dashboard.warning,Payroll Dashboard Warning (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,payroll,declaration.mixin,hr.payroll.declaration.mixin,"Payroll Declaration Mixin (The base model, which is implicitly inherited by all models.)"
hr,payroll,employee.declaration,hr.payroll.employee.declaration,Payroll Employee Declaration (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,payroll,headcount,hr.payroll.headcount,Payroll Headcount (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,payroll,note,hr.payroll.note,Payroll Note (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,payslip,input,hr.payslip.input,Payslip Input (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,payslip,input.type,hr.payslip.input.type,Payslip Input Type (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,payslip,line,hr.payslip.line,Payslip Line (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,payslip,worked_days,hr.payslip.worked_days,Payslip Worked Days (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
project,task,stage.personal,project.task.stage.personal,Personal Task Stage (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
stock,picking,type,stock.picking.type,Picking Type (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
pos,note,,pos.note,PoS Note (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
pos,load,mixin,pos.load.mixin,"PoS data loading mixin (The base model, which is implicitly inherited by all models.)"
pos,category,,pos.category,Point of Sale Category (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
pos,config,,pos.config,Point of Sale Configuration (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
pos,daily,sales.reports.wizard,pos.daily.sales.reports.wizard,"Point of Sale Daily Report (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
report,point_of_sale,report_saledetails,report.point_of_sale.report_saledetails,"Point of Sale Details (The base model, which is implicitly inherited by all models.)"
pos,details,wizard,pos.details.wizard,"Point of Sale Details Report (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
report,point_of_sale,report_invoice,report.point_of_sale.report_invoice,"Point of Sale Invoice Report (The base model, which is implicitly inherited by all models.)"
pos,make,payment,pos.make.payment,"Point of Sale Make Payment Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
pos,order,line,pos.order.line,Point of Sale Order Lines (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
report,pos,order,report.pos.order,Point of Sale Orders Report (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
pos,payment,method,pos.payment.method,Point of Sale Payment Methods (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
pos,payment,,pos.payment,Point of Sale Payments (Used to register payments made in a pos.order. See `payment_ids` field of pos.order model. The main characteristics of pos.payment can be read from `payment_method_id`.)
pos,printer,,pos.printer,Point of Sale Printer (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
pos_preparation_display,orderline,,pos_preparation_display.orderline,Point of Sale preparation order line (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
pos_preparation_display,stage,,pos_preparation_display.stage,Point of Sale preparation stage (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
portal,mixin,,portal.mixin,"Portal Mixin (The base model, which is implicitly inherited by all models.)"
portal,share,,portal.share,"Portal Sharing (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
portal,wizard,user,portal.wizard.user,Portal User Config (A model to configure users in the portal wizard.)
pos_preparation_display,display,,pos_preparation_display.display,Preparation display (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
pos_preparation_display,order,,pos_preparation_display.order,Preparation orders (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
whatsapp,preview,,whatsapp.preview,"Preview template (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
report,product,report_pricelist,report.product.report_pricelist,"Pricelist Report (The base model, which is implicitly inherited by all models.)"
product,pricelist,item,product.pricelist.item,Pricelist Rule (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
sale,subscription,pricing,sale.subscription.pricing,Pricing rule of subscription products (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
hr,employee,cv.wizard,hr.employee.cv.wizard,"Print Resume (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
privacy,log,,privacy.log,Privacy Log (Main super-class for regular database-persisted Odoo models. Odoo models are created by inheriting from this class:: class user(Model): ... The system will later instantiate the class once per database (on which the class' module is installed).)
privacy,lookup,wizard,privacy.lookup.wizard,"Privacy Lookup Wizard (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
privacy,lookup,wizard.line,privacy.lookup.wizard.line,"Privacy Lookup Wizard Line (Model super-class for transient records, meant to be temporarily persistent, and regularly vacuum-cleaned. A TransientModel has a simplified access rights management, all users can create new records, and may only access the records they created. The superuser has unrestricted access to all TransientModel records.)"
